所属业务团队,关联目标及方向,需求标题,核心交付功能说明,当前数据及落地指标,收益,业务需求优先级,启动状态,时间维度
专升本,B类：【重点项目】,专升本择校小程序上架杭州相关数据,可实现前端数据展现和后端数据导入,,服务浙江省专科用户，收资带来,P0,尚未启动,季度
考研,E类：【Q4季度重点】-3月,教师工作台搭建,1.教师所带班级学员提问、测试、出勤、任务完成率数据呈现,,,,尚未启动,月度
,,,2.问题学员标记,,,,尚未启动,月度
,,,3.教师资料优化,,,,尚未启动,月度
,,,①可批量绑定资料包,,,,尚未启动,月度
,,,②可调整排序,,,,尚未启动,月度
考研,E类：【Q4季度重点】-3月,保温课优化,课前规划及刷题巩固加入在职在校标签,,,,尚未启动,月度
考研,D类：【非考核类】 + 【考核类】落地结束,随堂测优化,1.课次后可配置两次测试,,,,尚未启动,月度
,,,2.主观题可流转教师批改,,,,尚未启动,月度
,,,3.随堂测试与学习任务提醒分开,,,,尚未启动,月度
考研,D类：【非考核类】 + 【考核类】落地结束,答疑优化,1.高端系统答疑到考试月份结束,,,,尚未启动,月度
,,,2.教师答疑搜索匿名,,,,尚未启动,月度
,,,3.语音转文字,,,,尚未启动,月度
考研,D类：【非考核类】 + 【考核类】落地结束,精选功能优化,精选教师展示界面可配置,,,,尚未启动,月度
考研,D类：【非考核类】 + 【考核类】落地结束,学员界面打通错题本收藏本,学员测试界面打通错题本收藏本,,,,尚未启动,月度
考研,D类：【非考核类】 + 【考核类】落地结束,专业课VIP定校规则优化,定校问卷只针对首次签约进行推送,,,,尚未启动,月度
考研,D类：【非考核类】 + 【考核类】落地结束,功能迭代,1.学管教师NPS评价内容提取归类并同步推送至分中心,,,,尚未启动,季度
,,,2.按照一二级分类推送至分中心对应板块负责人,,,,尚未启动,季度
考研,B类：【重点项目】,【练测】集团标化阶段测-题库升级,重构知识图谱，实现精准推送： 完成题目知识点颗粒度细化与自动化打标，让题目检索从“模糊匹配”进化为“精准定位”。,,,,尚未启动,季度
,,,打通“教材-章节-考点”全链路： 建立教材章节树，还原用户真实的同步学习场景，实现“学哪一课，练哪一课”。,,,,尚未启动,季度
,,,构建多层次题库生态： 引入非真题类试题，补齐基础训练缺口，满足用户从“日常巩固”到“考前冲刺”的全周期练习需求。,,,,尚未启动,季度
,,,,,,,尚未启动,季度
考研,E类：【Q4季度重点】-3月,功能优化,1. OMO后台【我的学员-91】增加筛选项（班级、授课教师、科目）,,,,尚未启动,月度
,,,2. 学习报告支持链接分享,,,,尚未启动,月度
,,,3. 学习详情中的线上学习内容适配新版课程伴侣,,,,尚未启动,月度
四六级,B类：【重点项目】,自动收分新增院校字段,自动收分新增院校字段,,,,尚未启动,月度
四六级,B类：【重点项目】,课前规划四六级适配,课前规划四六级适配,,,,尚未启动,月度
考研,C类：【数据需求】,补充正确率及完成频次,增加字段,,,,尚未启动,月度
考研,C类：【数据需求】,小程序数据看板升级,小程序数据看板升级,,,,尚未启动,月度
,,,,,,,尚未启动,月度
,,,,,,,尚未启动,月度
,,,,,,,尚未启动,月度
,,,,,,,尚未启动,月度
考研,B类：【重点项目】,视频和音频播放支持功能,1. 视频任务：【微信视频号嵌入小程序中】或者视频文件直接上传至小程序中，支持在小程序中播放视频和音频,,,,尚未启动,月度
,,,2. 音频：支持音频文件上传至小程序中，支持在小程序中播放音频，以及支持调节播放进度、倍速播放,,,,尚未启动,月度
,,,,,,,尚未启动,月度
,,,,,,,尚未启动,月度
,,,,,,,尚未启动,月度
考研,B类：【重点项目】,三方小程序迁移,时政小程序、题库小程序等三方小程序迁移至工具库小程序（支持在线练习）,,,,尚未启动,季度
,,,,,,,尚未启动,季度
,,,,,,,尚未启动,季度
,,,,,,,尚未启动,季度
,,,,,,,尚未启动,季度
轻学,B类：【重点项目】,图片任务生成二维码功能,用户在使用【图片任务】功能时，可在小程序前台随时选择是否为图片任务的图片添加个人微信或企微二维码，支持每个用户上传个人专属的微信或企微二维码,,,,尚未启动,季度
,,,,,,,尚未启动,季度
,,,,,,,尚未启动,季度
,,,,,,,尚未启动,季度
,,,,,,,尚未启动,季度
